Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,Color,Weight,Battery,Brand
Lenovo ThinkPad X1 Nano Gen 2,33990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/1/15/Lenovo_ThinkPad_X1_Nano_Gen_2.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-gen-2-6755,"Intel Core i5 1240P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 2160 x 1350px, 60Hz","Outlet, Nhập khẩu",Black,0.97kg,Battery,LENOVO
LG Gram 16 2023 (16ZD90R-G.AX55A5),39990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/18/lg-gram-16-2023-thinkpro-RAK.jpg,https://thinkpro.vn/laptop/lg-gram-16-2023-6766,"Intel Core i5 1340P, 16C/12T",16GB LPDDR5 6000MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 60Hz","Mới, Full box, Chính hãng",Black,1.199kg,Battery,LG
LG Gram Style 2023 (14Z90RS-G.AH54A5),38990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/19/lg-gram-style-2023-thinkpro-T8I.jpg,https://thinkpro.vn/laptop/lg-gram-style-2023-6774,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5 6000MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2880 x 1800px, 90Hz","Mới, Full box, Chính hãng",White,0.999kg,Battery,LG
LG Gram 17 2023 (17ZD90R-G.AX73A5),42990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/19/lg-gram-17-2023-thinkpro-5Bp.jpg,https://thinkpro.vn/laptop/lg-gram-17-2023-6772,"Intel Core i7 1360P, 12C/16T",16GB LPDDR5 6000MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"17 inch, 2560 x 1600px, 60Hz","Mới, Full box, Chính hãng",Grey,1.35kg,Battery,LG
LG Gram Ultra Slim 2023 (15Z90RT-G.AH55A5),42990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/19/lg-gram-15-2023-thinkpro-2Hs.jpg,https://thinkpro.vn/laptop/lg-gram-ultra-slim-2023-6776,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5 6000MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Full box, Chính hãng",Neptune Blue,0.990kg,Battery,LG
GIGABYTE G5 2023 (MF-E2VN333SH),23290000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/18/gigabyte-g5-mf-e2vn333sh-01-thinkpro-6NF.png,https://thinkpro.vn/laptop/gigabyte-g5-2023-6521,"Intel Core i5-12450H, 8C/12T",8GB DDR4 3200MHz,512GB (NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Sealed, Chính hãng",Classic Black,1.9kg,Battery,GIGABYTE
Mặt bàn Taxua - by NiceDesign (Cao Cấp),2990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/31/mat-ban-taxua-by-nicedesign-cao-cap-thinkpro.png,https://thinkpro.vn/laptop/mat-ban-taxua-by-nicedesign-cao-cap-6850,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Sealed, Chính hãng",Dẻ gai nguyên bản,1.35kg,Battery,MẶT
LG Gram 2in1 2023 (14T90R-G.AH55A5),37990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/25/lg-gram-2in1-2023-thinkpro.jpg,https://thinkpro.vn/laptop/lg-gram-2in1-2023-6777,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Mới, Full box, Chính hãng",Black,1.25kg,Battery,LG
Dell Gaming G15 5515 Ryzen Edition,19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/6/16/dellg15-phantomgrey-0jpg,https://thinkpro.vn/laptop/dell-gaming-g15-5515-ryzen-edition-6737,"AMD Ryzen 7 5800H, 8C/16T",16GB DDR4 3200MHz,512GB (,AMD Radeon Graphics,"45092 inch, 1920 x 1080px, 165Hz","Used, Nhập khẩu",Phantom Grey,2.81kg,Battery,DELL
Dell Inspiron 14 5405,12990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/dell-inspiron-14-5405-thinkpro-1.png,https://thinkpro.vn/laptop/dell-inspiron-14-5405-4093,"AMD AMD 4000, 6C/6T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Platium Silver,1.4kg,Battery,DELL
