Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop HP 240 G8 617L8PA,21890000,https://www.phucanh.vn//laptop-hp-240-g8-617l8pa.html,https://phucanhcdn.com/media/product/250_46892_hp_240_g8_silver_ha1.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Realtek RTL8822CE 802.11ac 2x2 Wi-Fi + Bluetooth 5,"1,5 Kg","14.0inch Full HD,279 x 191 x 16.9-16.9 mm",Silver,Windows 11 Home
Laptop Dell Latitude 5420 L5420I714WP,34490000,https://www.phucanh.vn//laptop-dell-latitude-5420-l5420i714wp.html,https://phucanhcdn.com/media/product/250_45940_latitude_5420_ha6.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"LAN, Wifi, Bluetooth","1,48 Kg","14.0inch Full HD,328 x 239 x 19.9 mm",Grey,Windows 11 Pro
Laptop Acer Swift 3 SF314 43 R4X3 NX.AB1SV.004,20990000,https://www.phucanh.vn//laptop-acer-swift-3-sf314-43-r4x3-nx.ab1sv.004.html,https://phucanhcdn.com/media/product/250_45838_swift_3_sf314_43_ha1.jpg,AMD Ryzen 5 5500U 2.1 GHz,16Gb (Onboard) DDR4 3200,Có,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"LAN, Wifi, Bluetooth","1,19 Kg","14.0inch Full HD,325 x 215 x 19.5 mm",Silver,Windows 10
Laptop Acer Aspire A514 54 5127 NX.A28SV.007,18990000,https://www.phucanh.vn//laptop-acer-aspire-a514-54-5127-nx.a28sv.007-mong-nhe-gia-canh-tranh.html,https://phucanhcdn.com/media/product/250_45713_aspire_a514_54_silver_backlit_ha2.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb (4Gb onboard + 1 khe rời) DDR4 3200,Không,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Gigabit Ethernet/ Wireless Wi-Fi 6 AX201 / Bluetooth 4.2, 5.0","1,46 Kg","14.0inch Full HD,327 x 225 x 17.5-17.6 mm",Silver,Windows 11 Home
Máy tính xách tay Microsoft Surface Pro 8,38290000,https://www.phucanh.vn//microsoft-surface-pro-8-core-i5-1135g7-8gb-256g-win-11-home-13-platinum.html,https://phucanhcdn.com/media/product/250_46085_microsoft_surface_pro_8_platinum_4.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb,,256GB SSD,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,"Wi-Fi 6, Bluetooth 5.1",0.891Kg,"Khoảng 13 inch,287mm x 208mm x 9.3mm",Platinum,Windows 11 Home
Máy tính xách tay Apple Macbook Air MGN63SA/A,29990000,https://www.phucanh.vn//laptop-apple-macbook-air-mgn63sa/a-apple-m1-8gb/-256gb-space-grey.html,https://phucanhcdn.com/media/product/250_41242_macbook_air_m1_2020_grey_ha4.jpg,M1 Hãng không công bố,8Gb,1,256GB SSD,,Khoảng 13 inch,Battery,"Wi-Fi 6, Bluetooth 5.0",1.29Kg,"0.41-1.61 x 30.41 x 21.24 cm,Khoảng 13 inch",Gray,Mac OS
Laptop HP ProBook 450 G8 614K2PA,20190000,https://www.phucanh.vn//laptop-hp-probook-450-g8-614k2pa.html,https://phucanhcdn.com/media/product/250_48697_laptop_hp_probook_450_g8_silver_a3.gif,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,74","15.6inch Full HD,6.9 x 52 x 30.5 cm",Silver,Windows 11 Home
Máy tính xách tay Apple Macbook Air Z16000051,36590000,https://www.phucanh.vn//laptop-apple-macbook-air-m2-8gpu-16gb-256gb-midnight-z16000051.html,https://phucanhcdn.com/media/product/250_48190_,M2 100GB/s,,1,256GB SSD,,Khoảng 13 inch,Battery,"Wi-Fi 6, Bluetooth 5.0",1.24Kg,"1.13 x 30.41 x 21.5 cm,Khoảng 13 inch",Midnight,Mac OS
Laptop HP Pavilion 15-eg2058TU 6K788PA,18990000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2058tu-6k788pa.html,https://phucanhcdn.com/media/product/250_48034_hp_pavilion_15_eg2066tu_gold_a5.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (2x4Gb) DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo,"1,85 Kg","15.6inch Full HD,360.4 x 271.09 x 25.9 mm",Gold,Windows 11 Home
Laptop MSI Gaming Pulse GL66 11UDK-816VN,33990000,https://www.phucanh.vn//laptop-msi-gaming-pulse-gl66-11udk-816vn.html,https://phucanhcdn.com/media/product/250_49304_,Core i7 Tiger Lake 11800H 2.3 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6 AX201(2x2ax)+BT5.1,"2,25 Kg","15.6inch Full HD,358.5 x 242 x 19.9 mm",Black,Windows 10
Laptop Lenovo ThinkPad P14s G2 20VX00E1VN,33990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-p14s-g2-20vx00e1vn.html,https://phucanhcdn.com/media/product/250_49243_may_tinh_xach_tay_lenovo_thinkpad_p14s_6.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Nvidia Quadro T500 4GB GDDR6,14.0inch Full HD,Battery,"Intel AX201 11ax, 2x2 + BT5.2","1,502 Kg","14.0inch Full HD,328 x 239 x 19 mm",Grey,Windows 11 Home
Laptop Asus ExpertBook B5402FEA-HY0126W,24490000,https://www.phucanh.vn//laptop-asus-expertbook-b5402fea-hy0126w.html,https://phucanhcdn.com/media/product/250_49169_asus_expertbook_b5402f_intel_black.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Wi-Fi 6(802.11ax)+BT5.0 (Dual band) 2*2,"1,38 Kg","Khoảng 14 inch,32.34 x 22.31 x 1.79 ~ 1.80 cm",Black,Windows 11 Home
Laptop Asus Vivobook 15X OLED S3504VA-L1226W,21990000,https://www.phucanh.vn//laptop-asus-vivobook-15x-oled-s3504va-l1226w.html,https://phucanhcdn.com/media/product/250_51461_laptop_asus_vivobook_15x_oled_s3504va_l1226w_10.jpg,Core i5 Raptor Lake 1340P 1.9 GHz,16Gb (2x8Gb) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,15.6inch FHD OLED,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,7","15.6inch FHD OLED,35.97 x 23.25 x 1.79 ~ 1.79 cm",Bạc,Windows 11 Home
Laptop Asus Zenbook S13 OLED UX5304VA-NQ125W,39990000,https://www.phucanh.vn//laptop-asus-zenbook-14-oled-ux5304va-nq125w-core-i7-1355u-16gb-512gb-ssd-intel-iris-xe-graphics-133inch-28k-windows-11-home-grey-vo-nhom-tui-sleeve.html,https://phucanhcdn.com/media/product/250_51459_laptop_asus_zenbook_14_oled_ux5304va_nq125w_9.jpg,Core i7 Raptor Lake 1355U 1.7 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch 2.8K,Battery,Wi-Fi 6E(802.11ax)+Bluetooth 5.2 (Dual band) 2*2,1.0,"13.3inch 2.8K,29.62 x 21.63 x 1.09 ~ 1.18 cm",Grey,Windows 11 Home
Laptop Lenovo ThinkPad X13 GEN 2 20WLS77V00,36990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-x13-gen-2-20wls77v00-core-i7-1165g7-16gb-512gb-ssd-intel-iris-xe-graphics-133inch-wqxga-windows-10-pro-black-carbon-fiber-3-year.html,https://phucanhcdn.com/media/product/250_51115_laptop_lenovo_thinkpad_x13_gen_2_intel_black_a1.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch WQXGA,Battery,"Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1","1,31 Kg","13.3inch WQXGA,305.8 x 217.06 x 18.19 mm",Black,Windows 10 Pro
Laptop Dell Latitude 3420 L3420I5SSDF512B,18990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-latitude-3420-l3420i5ssdf512b-core-i5-1135g7.html,https://phucanhcdn.com/media/product/250_50908_dell_latitude_3420_a5.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0,"1,52 Kg","14.0inch Full HD,326 x 226 x 17.6 mm",Black,NoOS
Laptop Asus Zenbook UX3402VA-KM085W,27990000,https://www.phucanh.vn//may-tinh-xach-tay-asus-zenbook-oled-ux3402va-km085w.html,https://phucanhcdn.com/media/product/250_50730_asus_zenbook_oled_ux3402va_km085w.jpg,Core i5 Raptor Lake 1340P 1.9 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA+,Battery,Wi-Fi 6E(802.11ax)+Bluetooth 5.2 (Dual band) 2*2,"1,1","14.0inch WUXGA+,31.36 x 21.98 x 1.69 ~ 1.69 cm",Blue,Windows 11 Home
Laptop Dell Alienware Gaming M15 R6 P109F001CBL,54990000,https://www.phucanh.vn//laptop-dell-alienware-gaming-alienware-m15-r6-p109f001cbl-core-i7.html,https://phucanhcdn.com/media/product/250_50568_5.jpg,Core i7 Tiger Lake 11800H 2.3 GHz,32Gb (2x16Gb) DDR4 3200,2,1TB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3060 6GB GDDR6,15.6inch QHD,Battery,Wi-Fi 6 (WiFi 802.11ax). Bluetooth 5,"2,69 Kg","15.6inch QHD,356 x 228 x 17.9 mm",Black,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad X1 Carbon Gen 10 21CB00A6VN,50990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-x1-carbon-gen-10-21cb00a6vn.html,https://phucanhcdn.com/media/product/250_50530_lenovo_thinkpad_x1_carbon_gen_10_intel_a_1.jpg,Core i7 Alder Lake 1260P 2.1 GHz,16Gb (Onboard) DDR5 5200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,"Intel AX201 11ax, 2x2 + BT5.2","1,12 Kg","14.0inch WUXGA Touch,315 x 222 x 15.3 mm",Black,Windows 11 Pro
Laptop Lenovo ThinkPad P14s G3 21AK006XVA,42990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-p14s-g3-21ak006xva-core-i7.html,https://phucanhcdn.com/media/product/250_50266_laptop_lenovo_thinkpad_p14s_g3_intel_black_a6.jpg,Core i7 Alder Lake 1260P 2.1 GHz,32Gb (16GB onboard + 1 khe rời) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Nvidia Quadro T550 4GB GDDR6,14.0inch 2.2K,Battery,"Intel Wi-Fi 6E AX211, 11ax 2x2 + BT 5.1","1,38 Kg","14.0inch 2.2K,317 x 226 x 17.95 mm",Black,NoOS
Laptop Lenovo ThinkPad P14s G3 21AK006SVA,36990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-p14s-g3-21ak006sva-core-i5.html,https://phucanhcdn.com/media/product/250_50264_laptop_lenovo_thinkpad_p14s_g3_intel_black_a6.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Nvidia Quadro T550 4GB GDDR6,14.0inch 2.2K,Battery,"Intel Wi-Fi 6E AX211, 11ax 2x2 + BT 5.1","1,38 Kg","14.0inch 2.2K,317 x 226 x 17.95 mm",Black,NoOS
Laptop HP Gaming Victus 16-d0291TX 5Z9R2PA,28990000,https://www.phucanh.vn//laptop-hp-victus-gaming-16-d0291tx-5z9r2pa.html,https://phucanhcdn.com/media/product/250_49901_hp_gaming_victus_16_e1107ax_amd_a_4.jpg,Core i7 Tiger Lake 11800H 2.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 16 inch,Battery,Wi-Fi 6(2x2) and Bluetooth 5.2,"2,46 Kg","Khoảng 16 inch,369.2 x 248 x 23 mm",Black,Windows 11 Home
Laptop HP Pavilion x360 14-ek0131TU 7C0P6PA,16990000,https://www.phucanh.vn//laptop-hp-pavilion-x360-14-ek0131tu-7c0p6pa.html,https://phucanhcdn.com/media/product/250_49785_hp_pavilion_x360_14_ek0131tu_blue_a_5.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb (Onboard) DDR4 3200,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel UHD Graphics,Khoảng 14 inch,Battery,Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 compatible combo (supporting gigabit data rate),"1,51 Kg","Khoảng 14 inch,32.2 x 21 x 1.99 cm",Blue,Windows 11 Home
Laptop Dell G series Gaming G15 5520 71000334,43990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-g-series-gaming-g15-5520-71000334.html,https://phucanhcdn.com/media/product/250_49641_1y_laptop_dell_gaming_g15_5515_phantom_grey_a5.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3060 6GB GDDR6,15.6inch Full HD,Battery,Killer 1650X Wi-Fi 6 802.11ax  Bluetooth 5.2,"2,6 Kg","15.6inch Full HD,356 x 251 x 26.9 mm",Grey,Windows 11 Home + Office Student
Laptop HP Gaming Victus 16-d1187TX 7C0S4PA,32990000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-d1187tx-7c0s4pa.html,https://phucanhcdn.com/media/product/250_49604_hp_gaming_victus_16_e1107ax_amd_a_4.jpg,Core i7 Alder Lake 12700H 3.5 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 16 inch,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,"2,46 Kg","Khoảng 16 inch,37 x 26 x 2.35 cm",Black,Windows 11 Home
Laptop Dell G series Gaming G15 5530 i7H165W11GR4060,44990000,https://www.phucanh.vn//laptop-dell-g-series-gaming-g15-5530-i7h165w11gr4060-core-i7-13650hx-16gb-512gb-ssd-nvidia-geforce-rtx-4060-8gb-gddr6-156inch-full-hd-windows-11-home-office-student-phantom-grey-1-year.html,https://phucanhcdn.com/media/product/250_51375_laptop_dell_g_series_gaming_g15_5530_intel_phantom_grey_a8.jpg,Core i7 Raptor Lake 13650HX 2.6 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4060 8GB GDDR6,15.6inch Full HD,Battery,802.11ax 2x2 WiFi and Bluetooth 5.2,"2,65 Kg","15.6inch Full HD,356 x 274 x 26.1 mm",Grey,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad E14 GEN 4 21E4S39B00,24990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-e14-gen-4-21e4s39b00-core-i7-1255u-16gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-noos-black-aluminium-1-year.html,https://phucanhcdn.com/media/product/250_51358_lenovo_thinkpad_e14_gen_4__intel_black_a6.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (2x8Gb) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 11ax. 2x2 + BT5.1,"1,64 Kg","14.0inch Full HD,324 x 220 x 17.9 mm",Black,NoOS
Laptop Dell Inspiron 5430 I5P165W11SLD2,28990000,https://www.phucanh.vn//laptop-dell-inspiron-5430-i5p165w11sld2-core-i5-1340p-16gb-512gb-ssd-nvidia-geforce-mx550-2gb-gddr6-140inch-full-hd-windows-11-home-office-student-silver-vo-nhom-1-year.html,https://phucanhcdn.com/media/product/250_51354_dell_inspiron_5430_intel_grey_a_6.jpg,Core i5 Raptor Lake 1340P 1.9 GHz,16Gb (Onboard) DDR5 4800,1,512GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,14.0inch Full HD+,Battery,802.11ax 2x2 WiFi and Bluetooth 5.2,"1,69 Kg","14.0inch Full HD+,314 x 226 x 16.49 mm",Silver,Windows 11 Home + Office Student
Laptop Dell Latitude 3520 70280538,22990000,https://www.phucanh.vn//laptop-dell-latitude-3520-71004153-core-i7-1165g7-8gb-256gb-ssd-intel-iris-xe-graphics-156inch-full-hd-windows-11-home-black-1-year.html,https://phucanhcdn.com/media/product/250_51309_dell_latitude_3520__black_a7.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0,"1,79 Kg","15.6inch Full HD,361 x 240 x 18.06 mm",Black,Windows 11 Home
Laptop Gigabyte G Serial Gaming G5 KF E3VN333SH,27990000,https://www.phucanh.vn//laptop-gigabyte-g-serial-gaming-g5-kf-e3vn333sh-core-i5-12500h-8gb-512gb-ssd-nvidia-geforce-rtx-4060-8gb-gddr6-156inch-full-hd-windows-11-home-black-2-year.html,https://phucanhcdn.com/media/product/250_51202_laptop_gigabyte_g5_kf_e3vn333sh.jpeg,Core i5 Alder Lake 12500H 2.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4060 8GB GDDR6,15.6inch Full HD,Battery,Intel WiFi 6 + Bluetooth V5.2,1.9 Kg,"15.6inch Full HD,360 x 238 x 22.7 mm",Black,Windows 11 Home
Laptop Lenovo Yoga Slim 7 Carbon 13IAP 82U90044VN,28990000,https://www.phucanh.vn//laptop-lenovo-yoga-slim-7-carbon-13iap-82u90044vn-core-i5-1240p-16gb-512gb-ssd-intel-iris-xe-graphics-133inch-25k-windows-11-home-carbon-gray-nhom-nguyen-khoi-3-year.html,https://phucanhcdn.com/media/product/250_51201_4.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch 2.5K,Battery,Wi-Fi 6 - 802.11ax. Bluetooth v5.0,0.96 Kg,"13.3inch 2.5K,300 x 206 x 14.8 mm",Carbon Gray,Windows 11 Home
Laptop Asus Vivobook A1405VA-KM059W,20490000,https://www.phucanh.vn//laptop-asus-vivobook-14-oled-a1405va-km059w.html,https://phucanhcdn.com/media/product/250_51149_laptop_asus_vivobook_14_oled_ban_phim_den_7.jpg,Core i5 Raptor Lake 13500H 2.6 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch 2.8K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,6 Kg","14.0inch 2.8K,35.68 x 22.76 x 1.99 ~ 1.99 cm",Black,Windows 11 Home
Laptop Asus Zenbook UX3402VA-KM068W,31990000,https://www.phucanh.vn//laptop-asus-zenbook-14-oled-ux3402va-km068w.html,https://phucanhcdn.com/media/product/250_51147_laptop_asus_zenbook_flip_14_oled_7.jpg,Core i7 Raptor Lake 1360P 2.2 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WQXGA,Battery,Wi-Fi 6E(802.11ax)+Bluetooth 5.2 (Dual band) 2*2,"1,4","14.0inch WQXGA,31.36 x 21.98 x 1.69 ~ 1.69 cm",Blue,Windows 11 Home
Laptop Lenovo ThinkPad T14S GEN 3 21BSS2HV00,33990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-t14s-gen-3-21bss2hv00-core-i5-1235u.html,https://phucanhcdn.com/media/product/250_51058_50670_lenovo_thinkpad_t14s_gen_3_intel_black_a8.jpg,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,21 Kg","14.0inch WUXGA,328 x 223 x 17.95 mm",Black,NoOS
Laptop Asus Vivobook 14X OLED S3405VA-KM072W,22990000,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-14x-oled-s3405va-km072w.html,https://phucanhcdn.com/media/product/250_51042_may_tinh_xach_tay_asus_vivobook_14x_oled_s3405va_km072w_1.jpg,Core i5 Raptor Lake 13500H 2.6 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch 2.8K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,4","14.0inch 2.8K,32.49 x 21.39 x 1.99 ~ 1.99 cm",Bạc,Windows 11 Home
Laptop Asus Vivobook 14X OLED S3405VA-KM071W,26990000,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-14x-oled-s3405va-km071w.html,https://phucanhcdn.com/media/product/250_51041_may_tinh_xach_tay_asus_vivobook_14x_oled_11.jpg,Core i9 Raptor Lake 13900H 5.4 GHz,16Gb (2x8Gb) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch 2.8K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,4","14.0inch 2.8K,32.49 x 21.39 x 1.99 ~ 1.99 cm",Bạc,Windows 11 Home
Laptop Asus Vivobook X1504VA-NJ069W,13690000,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-x1504va-nj069w.html,https://phucanhcdn.com/media/product/250_51027_may_tinh_xach_tay_asus_vivobook_x1504va_11.jpg,Core i3 Raptor Lake 1315U 1.2 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,Wi-Fi 5(802.11ac)+Bluetooth 4.1 (Dual band) 1*1,"1,8 Kg","15.6inch Full HD,360.2 x 234.9 x 19.9-19.9 mm",Silver,Windows 11 Home
Laptop Lenovo ThinkPad X1 Carbon Gen 9 20XW00QTVN,49990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-x1-carbon-gen-9-20xw00qtvn-core-i7-1165g7.html,https://phucanhcdn.com/media/product/250_50949_lenovo_thinkpad_x1_carbon_gen_9__black_a8.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,32Gb (Onboard) DDR4 4266,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,"Intel AX201 11ax, 2x2 + BT5.2","1,133 Kg","14.0inch WUXGA Touch,319 x 208 x 13.9-13.9 mm",Black,Windows 11 Pro
Laptop Asus Vivobook X1502ZA-EJ129W,20990000,https://www.phucanh.vn//laptop-asus-vivobook-x1502za-ej129w.html,https://phucanhcdn.com/media/product/250_49060_laptop_asus_vivobook_x1502__intel_silver_a8.jpg,Core i7 Alder Lake 1260P 2.1 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Wi-Fi 5(802.11ac)+Bluetooth 4.1 (Dual band) 1*1,"1,8 Kg","15.6inch Full HD,360.2 x 234.9 x 19.9-19.9 mm",Silver,Windows 11 Home
Laptop Dell Inspiron 5620 P1WKN,21990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-5620-p1wkn.html,https://phucanhcdn.com/media/product/250_48914_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,WiFi 802.11a/b/g - Bluetooth 5.0,"1,97 Kg","Khoảng 16 inch,355.9 x 243.4 x 16.8 mm",Silver,Windows 11 Home + Office Student
Laptop HP EliteBook 640 G9 6M158PA,26890000,https://www.phucanh.vn//laptop-hp-elitebook-640-g9-6m158pa.html,https://phucanhcdn.com/media/product/250_48625_laptop_hp_elitebook_640_g9_6m156pa_2.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,38 Kg","14.0inch Full HD,32.19 x 21.39 x 1.99 cm",Silver,Windows 11 Home
Laptop LG Gram 16Z90Q-G.AH54A5,42990000,https://www.phucanh.vn//laptop-lg-gram-16z90q-g.ah54a5.html,https://phucanhcdn.com/media/product/250_48453_lg_gram_16z90q_g_ah54a5_white_a6.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",White,Windows 11 Home
Laptop Asus TUF Gaming FX507ZE-HN093W,32490000,https://www.phucanh.vn//laptop-asus-tuf-gaming-fx507ze-hn093w.html,https://phucanhcdn.com/media/product/250_48210_laptop_asus_tuf_gaming_fx507ze_a9.jpg,Core i7 Alder Lake 12700H 3.5 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0,"2,2 Kg","15.6inch Full HD,354 x 251 x 22.4-24.9 mm",Grey,Windows 11 Home
