Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Máy tính xách tay Apple Macbook Pro 16 MNWC3SA/A,60790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-pro-mnwc3saa.html,https://phucanhcdn.com/media/product/250_50137_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_silver_1.jpg,M2 Pro 200GB/s,,1,512GB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.15Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Silver,Mac OS
Máy tính xách tay Apple Macbook Pro 16 MNW83SA/A,60790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-pro-mnw83saa.html,https://phucanhcdn.com/media/product/250_50136_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_space_gray_1.jpg,M2 Pro 200GB/s,,1,512GB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.15Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Gray,Mac OS
Máy tính xách tay Apple Macbook Pro 14 MPHE3SA/A,48790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-pro-mphe3saa.html,https://phucanhcdn.com/media/product/250_50130_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_1.jpg,M2 Pro 200GB/s,,1,512GB SSD,,Khoảng 14 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",1.6Kg,"1.55 x 31.26 x 22.12 cm,Khoảng 14 inch",Gray,Mac OS
Laptop HP Gaming Victus 15-fa0111TX 7C0R4PA,29290000,https://www.phucanh.vn//laptop-hp-gaming-victus-15-fa0111tx-7c0r4pa.html,https://phucanhcdn.com/media/product/250_49832_laptop_hp_gaming_victus_15_blue_a1.jpg,Core i5 Alder Lake 12500H 2.5 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,"2,29 Kg","15.6inch Full HD,37 x 26 x 2.35 cm",Blue,Windows 11 Home
Laptop HP Gaming Victus 15-fa0115TX 7C0X1PA,26890000,https://www.phucanh.vn//laptop-hp-gaming-victus-15-fa0115tx-7c0x1pa.html,https://phucanhcdn.com/media/product/250_49831_hp_gaming_victus_15_black_a3.jpg,Core i5 Alder Lake 12500H 2.5 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,"2,46 Kg","15.6inch Full HD,37 x 26 x 2.35 cm",Black,Windows 11 Home
Laptop HP Gaming Victus 16-e1102AX 7C139PA,31990000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-e1102ax-7c139pa.html,https://phucanhcdn.com/media/product/250_49827_laptop_hp_gaming_victus_16_blue_a1.jpg,AMD Ryzen 7 6800H 3.2 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 16 inch,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"2,46 Kg","Khoảng 16 inch,35.79 x 25.5 x 2.35 cm",Blue,Windows 11 Home
Laptop HP ProBook 450 G9 6M0Z8PA,25590000,https://www.phucanh.vn//laptop-hp-probook-450-g9-6m0z8pa.html,https://phucanhcdn.com/media/product/250_48650_48648_laptop_hp_probook_450_g9_silver_a4.gif,Core i7 Alder Lake 1255U 3.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 15 inch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,74","Khoảng 15 inch,35.94 x 23.39 x 1.99 cm",Silver,Windows 11 Home
Laptop HP EliteBook 630 G9 6M146PA,26390000,https://www.phucanh.vn//laptop-hp-elitebook-630-g9-6m146pa.html,https://phucanhcdn.com/media/product/250_48743_,Core i7 Alder Lake 1255U 3.5 GHz,16Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,28 Kg","13.3inch Full HD,30.69 x 20.84 x 1.59 cm",Silver,Windows 11 Home
Máy tính xách tay HP Pavilion 15-eg2037TX 6K783PA,20590000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2037tx-6k783pa.html,https://phucanhcdn.com/media/product/250_48672_laptop_hp_pavilion_15_eg2037tx_silver_a5.gif,Core i5 Alder Lake 1235U 3.3 GHz,8Gb (2x4Gb) DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,15.6inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (Supporting Gigabit data rate),"1,85 Kg","15.6inch Full HD,360.4 x 271.09 x 25.9 mm",Gold,Windows 11 Home
Laptop HP ProBook 450 G9 6M0Y9PA,21390000,https://www.phucanh.vn//laptop-hp-probook-450-g9-6m0y9pa.html,https://phucanhcdn.com/media/product/250_48649_48648_laptop_hp_probook_450_g9_silver_a4.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 15 inch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,74","Khoảng 15 inch,35.94 x 23.39 x 1.99 cm",Silver,Windows 11 Home
