Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status
Laptop Acer Swift 3 SF314,13290000,https://laptop88.vn/moi-100-full-box-laptop-acer-swift-3-sf314-512-52mz-intel-core-i5-1240p-14-inch-full-hd-ips.html,https://laptop88.vn/media/product/pro_poster_7831.jpg,i5 - 1240P,16GB LPDDR4X,SSD 512GB,Intel Iris Xe Graphics,14 FHD iPS 100% sRGB,New Outlet
Laptop Asus Vivobook S 14 Flip TN3402YA,17890000,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-flip-tn3402ya-lz026w-amd-ryzen-5-7530u-14-inch-wuxga.html,https://laptop88.vn/media/product/8041_12533_asus_vivobook_s_14_flip_tn3402ya_7.jpg,"R5-7530U
",16GB DDR4,SSD 512GB NVMe,"AMD Radeon Graphics
",14.0 inch WUXGA ,New 100%
Laptop Asus Zenbook 14 OLED UX3402VA,29990000,https://laptop88.vn/new-100-laptop-asus-zenbook-14-oled-ux3402va-km068w-intel-core-i7-1360p-14-inch-2.8k-oled.html,https://laptop88.vn/media/product/8042_12532_asus_zenbook_14_oled_ux3402va__5.jpg," i7-1360P
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Graphics
",14.0 2.8K OLED,New 100%
Laptop Dell Latitude 7320,16990000,https://laptop88.vn/moi-99-refurbished-laptop-dell-latitude-7320-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_7042.jpg,i5-1145G7,16GB DDR4,SSD 256GB,Iris Xe Graphics,13.3 Full HD,New Outlet
Laptop Asus Zenbook 14 OLED UX3402VA,25990000,https://laptop88.vn/new-100-laptop-asus-zenbook-14-oled-ux3402va-km085w-intel-core-i5-1340p-14-inch-oled-wqxga.html,https://laptop88.vn/media/product/8038_untitled_1.jpg,"i5-1340P
",8GB DDR4,SSD 512GB NVMe,"Intel Iris Xe Graphics
",14.0 inch OLED WQXGA+,New 100%
Laptop  Asus Zenbook 14 Flip OLED UP3404VA,27490000,https://laptop88.vn/new-100-laptop-asus-zenbook-14-flip-oled-up3404va-kn038w-intel-core-i5-1340p-14-inch-2.8k-oled.html,https://laptop88.vn/media/product/8044_12529_asus_zenbook_14_flip_oled_up3404_7.jpg,"  i5-1340P
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Plus Graphics
",14.0 2.8K OLED,New 100%
Laptop MSI Creator Z16 HX Studio B13VFTO 063VN,64990000,https://laptop88.vn/new-100-laptop-msi-creator-z16-hx-studio-b13vfto-062vn-intel-core-i7-13700hx-rtx-4060-8gb-16-inch-qhd-120hz.html,https://laptop88.vn/media/product/8032_nb123b0q4_2.png,"i7-13700HX
",32GB DDR5,SSD 2TB NVMe,Nvidia RTX 4060 8GB,16.0 QHD+ 120Hz,New 100%
Laptop  ASUS VivoBook Pro 14 OLED K3405VC,27690000,https://laptop88.vn/new-100-laptop-asus-vivobook-pro-14-oled-k3405vc-km006w-intel-core-i5-13500h-14.5-inch-oled-wqxga.html,https://laptop88.vn/media/product/8045_8020_2.jpg,"  I5-13500H
",16GB LPDDR5,SSD 512GB NVMe,"RTX 3050 4GB GDDR6
",14” WQXGA+ OLED,New 100%
Laptop Cũ Asus TUF Dash 2022 F15 FX517ZC,21690000,https://laptop88.vn/new-outlet-laptop-asus-tuf-dash-2022-f15-fx517zc-intel-core-i5-12450h-rtx-3050.html,https://laptop88.vn/media/product/8057_7008_dsc08938__1_.jpg,"Intel Core i5-12450H
",8GB DDR5 ,SSD 512GB NVMe,Geforce RTX 3050,15.6 Full HD 144Hz,Used
Laptop Asus Zenbook 14 Flip OLED UP3404VA,31490000,https://laptop88.vn/new-100-laptop-asus-zenbook-14-flip-oled-up3404va-kn039w-intel-core-i7-1360p-14-inch-2.8k-oled.html,https://laptop88.vn/media/product/8043_12531_asus_zenbook_14_flip_oled_up3404_silver__7.jpg," i7-1360P
",16GB LPDDR5,SSD 512GB NVMe,"Intel Iris Xe Plus Graphics
",14.0 2.8K OLED,New 100%
