Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
HP Probook 450 G5,6800000,https://techcare.vn/wp-content/uploads/2022/08/hp-probook-450-g5-15.jpg,https://techcare.vn/san-pham/hp-probook-450-g5/,Core i5-7200U,8GB,HDD 500GB + SSD 120GB,Intel HD Graphics 620,15.6 inch HD,99%,2.1 kg,48Whr,HP
Hp Elitebook 840 G5,7200000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-840-g5-1-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g5-core-i5/,Core i5-7300U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,1.44 Kg,,HP
Lenovo Thinkpad T480s,8900000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t480s-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t480s-20l7s00t00/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,,,LENOVO
Lenovo ThinkPad T450s,5400000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t450s-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t450s/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,,4 cell,LENOVO
Dell Latitude 5510,11900000,https://techcare.vn/wp-content/uploads/2021/06/dell-latitude-5510-8-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-5510/,Core i5-10310U,8GB,SSD 256GB,Intel UHD Graphics 650,15.6 inch Full HD,99%,1.79kg,4 Cells,DELL
HP Elitebook 840 G3,6200000,https://techcare.vn/wp-content/uploads/2019/04/hp-elitebook-840-g3-300x300.png,https://techcare.vn/san-pham/hp-elitebook-840-g3-i5/,Core i5-6300U,8GB,SSD 240GB,Intel HD Graphics 520,14 inch HD,99%,1.5kg,,HP
HP ProBook 640 G1,4900000,https://techcare.vn/wp-content/uploads/2018/08/hp-probook-640-g1-300x300.png,https://techcare.vn/san-pham/hp-probook-640-g1/,Core i3-4000M,4GB,SSD 120GB,Intel Graphics 4600,14 inch HD,99%,1.78Kg,6-cell lithium ion,HP
Dell Latitude 5300,7900000,https://techcare.vn/wp-content/uploads/2022/08/dell-latitude-5300-9-300x300.png,https://techcare.vn/san-pham/dell-latitude-5300/,Core i5-8265U,8GB,SSD 128GB,Intel HD Graphics 620,13.3 inch Full HD,99%,1.24 kg,42 Wh,DELL
HP Spectre x360,15500000,https://techcare.vn/wp-content/uploads/2022/07/hp-spectre-x360-300x300.jpg,https://techcare.vn/san-pham/hp-spectre-x360/,Core i7-8550U,8GB,SSD 512GB,Nvidia Geforce MX150 2GB,15.6 inch 4K,99%,,3 cell,HP
Dell Latitude E7390,6900000,https://techcare.vn/wp-content/uploads/2020/03/dell-latitude-e7390-6-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e7390/,Core i5-8350U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,1.3 kg,4 Cells,DELL
Dell Inspiron 7460,8200000,https://techcare.vn/wp-content/uploads/2022/08/dell-inspiron-7460-10.jpg,https://techcare.vn/san-pham/laptop-dell-inspiron-7460-i7-7500u-card-roi-nvidia-geforce-940/,Core i5-7200U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,"1,7 kg",,DELL
Surface Pro 4,10500000,https://techcare.vn/wp-content/uploads/2022/07/microsoft-surface-pro-4-300x300.jpg,https://techcare.vn/san-pham/microsoft-surface-pro-4/,Core i5-6200U,8GB,SSD 256GB,Intel HD Graphics 520,12.3 inch 2K+,99%,786g,9 giờ,MICROSOFT
Dell Latitude E5580,5700000,https://techcare.vn/wp-content/uploads/2020/06/Dell-latitude-5580-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e5580/,Core i5-6300U,8GB,SSD 256GB,Intel HD Graphics 620,15.6 inch Full HD,99%,1.9kg,,DELL
Dell Latitude E7270,4900000,https://techcare.vn/wp-content/uploads/2020/02/dell-latitude-e7270-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7270-i5/,Core i5-6200U,8GB,SSD 240GB,Intel HD Graphics 520,12.5 inch HD,99%,1.26 kg,4 Cell,DELL
Dell Vostro 5459,9200000,https://techcare.vn/wp-content/uploads/2019/04/dell-vostro-5459-300x300.png,https://techcare.vn/san-pham/dell-vostro-5459/,Core i5-6200U,8GB,SSD 240GB,AMD ATI Radion R5M335,14 inch HD,99%,1.66kg,,DELL
Dell Latitude 7280,5500000,https://techcare.vn/wp-content/uploads/2019/04/dell-latitude-7280-300x300.png,https://techcare.vn/san-pham/dell-latitude-7280-i5/,Core i5-6300U,4GB,SSD 120GB,Intel HD Graphics 620,12 inch HD,99%,,4 Cell,DELL
Dell Latitude E5480,5300000,https://techcare.vn/wp-content/uploads/2020/12/dell-latitude-e5480-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e5480/,Core i5-6300U,8GB,SSD 128GB,Intel HD Graphics,14 inch HD,99%,1.6 kg,,DELL
Dell Latitude 5400,6900000,https://techcare.vn/wp-content/uploads/2021/03/dell-latitude-5400-14-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-5400/,Core i5-8365U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch HD,99%,1.52 kg,,DELL
Lenovo ThinkPad T480,7700000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t480-1-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t480/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,,48Wh gắn liền và 72Wh gắn ngoài.,LENOVO
HP Probook 640 G2,6400000,https://techcare.vn/wp-content/uploads/2021/07/hp-probook-640-g2-300x300.jpg,https://techcare.vn/san-pham/hp-probook-640-g2/,Core i5-6300U,4GB,SSD 120GB,Intel HD Graphics 520,14 inch HD,99%,1.95kg,6 Cells,HP
HP Elitebook 840 G2,4900000,https://techcare.vn/wp-content/uploads/2021/09/hp-elitebook-840-g2-300x300.jpg,https://techcare.vn/san-pham/hp-elitebook-840-g2-core-i5-5300u-intel-hd-graphics-5500/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,,,HP
HP Probook 6560B,3900000,https://techcare.vn/wp-content/uploads/2022/08/hp-probook-6560b-10.jpg,https://techcare.vn/san-pham/laptop-hp-probook-6560b/,Core i5-2520M,4GB,SSD 120GB,Intel HD Graphics 3000,15.6 inch HD,99%,2.4kg,6 cells,HP
Dell Inspiron G5 5587,18900000,https://techcare.vn/wp-content/uploads/2018/07/dell-inspiron-g5-5587-300x300.png,https://techcare.vn/san-pham/dell-inspiron-g5-5587/,Core i7-8750H,8GB,HDD 1TB + SSD 128GB,Nvidia Geforce GTX 1050Ti 4GB,15.6 inch Full HD,99%,,4 cell,DELL
Dell latitude E7270,4300000,https://techcare.vn/wp-content/uploads/2020/12/dell-latitude-e7270-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e7270-i3/,Core i3-6006U,8GB,SSD 256GB,Intel HD Graphics 520,12.5 inch HD,99%,1.26 kg,4 Cell,DELL
