CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
"
 i7-13650HX
","15.6"" WUXGA 165Hz",Nvidia RTX 4050 6GB,https://laptop88.vn/media/product/7962_015w_1.jpeg,[Mới 100% Full Box] Laptop ASUS ROG Strix G16 G614JU-N3777W - Intel Core i7-13650HX | RTX 4050 6GB | 16 Inch WUXGA 165Hz,39.990.000 đ,16GB DDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-strix-g16-g614ju-n3777w-intel-core-i7-13650hx-rtx-4050-6gb-16-inch-wuxga-165hz.html
"
i7-13620H
","16"" Full HD 165Hz",Nvidia RTX 4050 ,https://laptop88.vn/media/product/7964_rog_zephyrus_g16.png,[Mới 100% Full Box] Laptop  Asus ROG Zephyrus G16 GU603VU N3898W - Intel Core i7 - 13620H | RTX4050 | 16 Inch Full HD 165Hz,41.790.000 đ,16GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-zephyrus-g16-gu603vu-n3898w-intel-core-i7-13620h-rtx4050-16-inch-full-hd-165hz.html
"
i3 - 1315u
","15"" FHD IPS","
Iris Xe Graphics
",https://laptop88.vn/media/product/8116_aspire_5_15.png,[New 100%] Laptop Acer Aspire 5 Aspire 5 A515-58P-34RJ NX.KHJSV.003  - Intel i3-1315u | 8GB | 512GB | 15 inch FHD IPS,12.990.000 đ,8GB ,New 100%,SSD 512GB,https://laptop88.vn/new-100-laptop-acer-aspire-5-a514-58p-34rj-nx.khrjsv-i3-1315u-8gb-512gb.html
i9-13950HX,"17"" Full HD 240Hz",Nvidia RTX 4080,https://laptop88.vn/media/product/7973_1024__2_.png,[New 100%] Laptop MSI Raider GE78HX 13VH-076VN - Intel Core i9 -13950HX | RTX 4080 | 17 Inch QHD 240Hz,118.900.000 đ,64GB DDR5,New 100%,SSD 4TB NVMe,https://laptop88.vn/new-100-laptop-msi-raider-ge78hx-13vh-076vn-intel-core-i9-13950hx-rtx-4080-17-inch-qhd-240hz-1.html
i9-13980HX,"17.3"" UHD 144Hz",Nvidia  RTX 4090,https://laptop88.vn/media/product/7972_pc_portable_msi_titan_gt77hx_13vh_029fr_17_3_intel_core_i9_13980hx_64_go_ram_2_to_d_noir.jpg,[New 100%] Laptop MSI Titan GT77HX 13VI-077VN - Intel Core i9 -13980HX | RTX 4090 | 17.3 Inch UHD  144Hz,148.990.000 đ,64GB DDR5,New 100%,SSD 4TB NVMe,https://laptop88.vn/new-100-laptop-msi-titan-gt77hx-13vi-077vn-intel-core-i9-13980hx-rtx-4090-17.3-inch-uhd-144hz.html
"
i7 - 1355U
","15.6"" Full HD, IPS","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/7967_7511_11.png,[New 100%] Laptop MSI Modern 15 B13M 297VN - Intel Core i7 - 1355U | 15.6 Inch Full HD,19.490.000 đ,16GB DDR4,New 100%,SSD 512GB,https://laptop88.vn/new-100-laptop-msi-modern-15-b13m-297vn-intel-core-i7-1355u-15.6-inch-full-hd.html
R5 - 6600HS,"16"" 2.5K WQXGA",GTX1650 4GB,https://laptop88.vn/media/product/pro_poster_7975.jpg,[New 100%] Laptop Ideapad 5 Pro 16ARH7 82SN003LVN - AMD Ryzen 5 - 6600HS | GTX1650 4GB | 16 Inch 2.5K WQXGA,Liên Hệ,16GB LPDDR5,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-ideapad-5-pro-16arh7-82sn003lvn-amd-ryzen-5-6600hs-gtx1650-4gb-16-inch-2.5k-wqxga.html
i7-13620H,"15.6"" Full HD 144Hz",Nvidia RTX 4060,https://laptop88.vn/media/product/7970_katana_15_b13vx_1.png,[New 100%] Laptop MSI Katana 15 B13VFK 676VN - Intel Core i7 - 13620H | RTX 4060 | 15.6 Inch Full HD 144Hz,34.990.000 đ,16GB DDR5,,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-msi-katana-15-b13vfk-676vn-intel-core-i7-13620h-rtx-4060-15.6-inch-full-hd-144hz.html
 i9-13980HX ,"18"" QHD+ 240Hz ",Nvidia RTX 4070 8GB,https://laptop88.vn/media/product/7976_laptop_asus_rog_strix_g153_g513ie_hn246w_ryzen_7_4800h__8gb__512gb__rtx_3050ti_4gb__15.jpg,[New 100%] Laptop Asus ROG Strix G18 G814JI-N6063W - Intel Core i9 - 13980HX | RTX 4070 8GB  | 18 Inch QHD+ 240Hz,66.990.000 đ, 32GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-strix-g18-g814ji-n6063w-intel-core-i9-13980hx-rtx-4070-8gb-18-inch-qhd-240hz.html
i7-13650HX,"16"" QHD+ 240Hz ",Nvidia RTX 4070 8GB,https://laptop88.vn/media/product/7977_,[New 100%] Laptop Asus ROG Strix G16 G614JI-N4084W - Intel Core i7-13650HX |  RTX 4070 8GB | 16 Inch QHD+240Hz,55.990.000 đ,16GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-strix-g16-g614ji-n4084w-intel-core-i7-13650hx-rtx-4070-8gb-16-inch-qhd-240hz.html
"
 R9-7945HX
","17.3 "" WQHD 240Hz","
Nvidia RTX 4080
",https://laptop88.vn/media/product/7979_scar_17_6.jpg,[New 100%] Laptop ASUS ROG Strix SCAR 17 G733PZ LL980W - AMD Ryzen 9-7945HX | RTX4080 | 17.3 Inch WQHD 240Hz,83.690.000 đ,32GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-strix-scar-17-g733pz-ll980w-amd-ryzen-9-7945hx-rtx4080-17.3-inch-wqhd-240hz.html
Ryzen 5 Pro,"13.3"" WUXGA",AMD Radeon,https://laptop88.vn/media/product/7996_lenovo_thinkpad_z13_amd_13_1.jpg,[New 100%] Laptop Lenovo ThinkPad Z13 - AMD Ryzen 5 Pro 6650u | 16GB | 13 inch WUXGA,Liên Hệ,16 GB ,,SSD 256GB,https://laptop88.vn/new-100-laptop-lenovo-thinkpad-z13-amd-ryzen-5-pro-6650u-16gb-13-inch-wuxga.html
